,authors,author_full_name,title,journal,language,document_type,keywords,year,vol,issue,doi,authors_l,authors_full_l,title_l,journal_l,keywords_l
101,"Xiong, ZQ; Duan, YF","Xiong, Zequan; Duan, Yufeng",Evaluating the impact of books in Chinese Studies: A case study of books authored by UCLA scholars,MALAYSIAN JOURNAL OF LIBRARY & INFORMATION SCIENCE,English,Article,Bibliometrics; Altmetrics; Book impact; Book evaluation; Chinese Studies,2019,24,3,10.22452/mjlis.vol24no3.2,"zq xiong, yf duan","zequan xiong, yufeng duan",evaluating impact books in chinese studies a case study books authored by ucla scholars,malaysian journal of library information science,"altmetrics, bibliometrics, book evaluation, book impact, chinese studies"
102,"Click, AB; Borchardt, R","Click, Amanda B.; Borchardt, Rachel","Library Supported Open Access Funds: Criteria, Impact, and Viability",EVIDENCE BASED LIBRARY AND INFORMATION PRACTICE,English,Article,,2019,14,4,10.18438/eblip29623,"ab click, r borchardt","amanda b. click, rachel borchardt",library supported open access funds criteria impact viability,evidence based library and information practice,
103,"Gruzova, A","Gruzova, Anna",Bibliographical activity in the networked information environment,NAUCHNYE I TEKHNICHESKIE BIBLIOTEKI-SCIENTIFIC AND TECHNICAL LIBRARIES,English,Article,altmetrics; bibliographic management; web 2.0; web-bibliography; folksonomy,2019,0,7,10.33186/1027-3689-2019-7-37-53,a gruzova,anna gruzova,bibliographical activity in networked information environment,nauchnye i tekhnicheskie biblioteki scientific and technical libraries,"altmetrics, bibliographic management, folksonomy, web 2.0, web-bibliography"
104,"Uribe-Tirado, A; Ochoa-Gutierrez, J; Ruiz-Nunez, K; Fajardo-Bermudez, M","Uribe-Tirado, Alejandro; Ochoa-Gutierrez, Jaider; Ruiz-Nunez, Kelis; Fajardo-Bermudez, Marcela",Visibility and altmetric impact of the University of Antioquia researchers: Methodology applicable to universities,TRANSINFORMACAO,Spanish,Article,Altmetrics; Impact; Researchers; Academic platforms; University; Visibility,2019,31,0,10.1590/2318-0889201931e190016,"a uribe-tirado, j ochoa-gutierrez, k ruiz-nunez, m fajardo-bermudez","alejandro uribe-tirado, jaider ochoa-gutierrez, kelis ruiz-nunez, marcela fajardo-bermudez",visibility altmetric impact university antioquia researchers methodology applicable to universities,transinformacao,"academic platforms, altmetrics, impact, researchers, university, visibility"
105,"Gouveia, FC","Gouveia, Fabio Castro",Altmetric studies in Brazil: An analysis from the curricula on the Lattes Platform-CNPq,TRANSINFORMACAO,Portuguese,Article,Altmetrics; Brazil; Facebook; Lattes; Twitter,2019,31,0,10.1590/2318-0889201931e190027,fc gouveia,fabio castro gouveia,altmetric studies in brazil an analysis from curricula on lattes platform cnpq,transinformacao,"altmetrics, brazil, facebook, lattes, twitter"
106,"Shintaku, M; Barcelos, J; Araujo, R; de Brito, RF","Shintaku, Milton; Barcelos, Janinne; Araujo, Ronaldo; de Brito, Ronnie Fagundes",Mega Journals and altimetric: relations between new forms of research publications and evaluations of impact,ENCONTROS BIBLI-REVISTA ELETRONICA DE BIBLIOTECONOMIA E CIENCIA DA INFORMACAO,Portuguese,Article,Scientific communication; Scientific communication and internet; Mega-Journals; Altmetrics,2019,24,54,10.5007/1518-2924.2019v24n54p52,"m shintaku, j barcelos, r araujo, rf de brito","milton shintaku, janinne barcelos, ronaldo araujo, ronnie fagundes de brito",mega journals altimetric relations between new forms research publications evaluations impact,encontros bibli revista eletronica de biblioteconomia e ciencia da informacao,"altmetrics, mega-journals, scientific communication, scientific communication and internet"
107,"Osman, K; Cunningham, S","Osman, Kim; Cunningham, Stuart",Engagement and impact through 'amplifier platforms',AUSTRALIAN UNIVERSITIES REVIEW,English,Article,public scholarship; amplifier platforms; digital media; online scholarly communication; The Conversation,2019,61,2,,"k osman, s cunningham","kim osman, stuart cunningham",engagement impact through amplifier platforms,australian universities review,"amplifier platforms, digital media, online scholarly communication, public scholarship, the conversation"
108,"Powell, KR; Elder, JJ","Powell, Kimberly R.; Elder, Jennifer J.",A bibliometric services workshop for subject librarians,LIBRARY MANAGEMENT,English,Article,Bibliometrics; Altmetrics; Citation analysis; Library services; Workshop; Peer-to-peer training,2019,40,5,10.1108/lm-03-2018-0014,"kr powell, jj elder","kimberly r. powell, jennifer j. elder",a bibliometric services workshop for subject librarians,library management,"altmetrics, bibliometrics, citation analysis, library services, peer-to-peer training, workshop"
109,"Saberi, MK; Ekhtiyari, F","Saberi, Mohammad Karim; Ekhtiyari, Faezeh","Usage, captures, mentions, social media and citations of LIS highly cited papers: an altmetrics study",PERFORMANCE MEASUREMENT AND METRICS,English,Article,Library and information science; Altmetrics,2019,20,1,10.1108/pmm-10-2018-0025,"mk saberi, f ekhtiyari","mohammad karim saberi, faezeh ekhtiyari",usage captures mentions social media citations lis highly cited papers an altmetrics study,performance measurement and metrics,"altmetrics, library and information science"
110,"Holbrook, JB","Holbrook, J. Britt",Designing responsible research and innovation to encourage serendipity could enhance the broader societal impacts of research,JOURNAL OF RESPONSIBLE INNOVATION,English,Article,Responsible research and innovation; serendipity; broader impacts; altmetrics; tool; evaluation,2019,6,1,10.1080/23299460.2017.1410326,jb holbrook,j. britt holbrook,designing responsible research innovation to encourage serendipity could enhance broader societal impacts research,journal of responsible innovation,"altmetrics, broader impacts, evaluation, responsible research and innovation, serendipity, tool"
111,"Komljenovic, J","Komljenovic, Janja","Linkedin, platforming labour, and the new employability mandate for universities",GLOBALISATION SOCIETIES AND EDUCATION,English,Article,Digital platform; higher education; labour market; employability; LinkedIn,2019,17,1,10.1080/14767724.2018.1500275,j komljenovic,janja komljenovic,linkedin platforming labour new employability mandate for universities,globalisation societies and education,"digital platform, employability, higher education, labour market, linkedin"
112,"Kalita, D; Deka, D; Hazarika, T","Kalita, Deepjyoti; Deka, Dipen; Hazarika, Tilak",A 2D Evaluation of Altmetrics Influence in Citation Growth: Case Study of Indian Research Articles in PLoS Journals,JOURNAL OF SCIENTOMETRIC RESEARCH,English,Article,Altmetrics; Scientometrics; t-Test; Indian research,2019,8,1,10.5530/jscires.8.1.4,"d kalita, d deka, t hazarika","deepjyoti kalita, dipen deka, tilak hazarika",a 2d evaluation altmetrics influence in citation growth case study indian research articles in plos journals,journal of scientometric research,"altmetrics, indian research, scientometrics, t-test"
113,"Alperin, JP; Gomez, CJ; Haustein, S","Alperin, Juan Pablo; Gomez, Charles J.; Haustein, Stefanie",Identifying diffusion patterns of research articles on Twitter: A case study of online engagement with open access articles,PUBLIC UNDERSTANDING OF SCIENCE,English,Article,altmetrics; diffusion; open access; public use of research; science communication; social media; social network analysis; Twitter,2019,28,1,10.1177/0963662518761733,"jp alperin, cj gomez, s haustein","juan pablo alperin, charles j. gomez, stefanie haustein",identifying diffusion patterns research articles on twitter a case study online engagement with open access articles,public understanding of science,"altmetrics, diffusion, open access, public use of research, science communication, social media, social network analysis, twitter"
114,"Hayon, S; Tripathi, H; Stormont, IM; Dunne, MM; Naslund, MJ; Siddiqui, MM","Hayon, Solomon; Tripathi, Hemantkumar; Stormont, Ian M.; Dunne, Meagan M.; Naslund, Michael J.; Siddiqui, Mohummad M.",Twitter Mentions and Academic Citations in the Urologic Literature,UROLOGY,English,Article,,2019,123,0,10.1016/j.urology.2018.08.041,"s hayon, h tripathi, im stormont, mm dunne, mj naslund, mm siddiqui","solomon hayon, hemantkumar tripathi, ian m. stormont, meagan m. dunne, michael j. naslund, mohummad m. siddiqui",twitter mentions academic citations in urologic literature,urology,
115,"Dozmorov, MG","Dozmorov, Mikhail G.",GitHub Statistics as a Measure of the Impact of Open-Source Bioinformatics Software,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,English,Article,bioinformatics; software; impact factor; altmetrics; github,2018,6,0,10.3389/fbioe.2018.00198,mg dozmorov,mikhail g. dozmorov,github statistics as a measure impact open source bioinformatics software,frontiers in bioengineering and biotechnology,"altmetrics, bioinformatics, github, impact factor, software"
116,"Wayant, C; Vassar, M","Wayant, C.; Vassar, M.",A comparison of matched interim analysis publications and final analysis publications in oncology clinical trials,ANNALS OF ONCOLOGY,English,Article,clinical trial as topic; surrogate end point; progression-free survival,2018,29,12,10.1093/annonc/mdy447,"c wayant, m vassar","c. wayant, m. vassar",a comparison matched interim analysis publications final analysis publications in oncology clinical trials,annals of oncology,"clinical trial as topic, progression-free survival, surrogate end point"
117,"Robinson-Garcia, N; van Leeuwen, TN; Rafols, I","Robinson-Garcia, Nicolas; van Leeuwen, Thed N.; Rafols, Ismael",Using altmetrics for contextualised mapping of societal impact: From hits to networks,SCIENCE AND PUBLIC POLICY,English,Article,societal impact; social engagement; open science; altmetrics; twitter; research evaluation,2018,45,6,10.1093/scipol/scy024,"n robinson-garcia, tn van leeuwen, i rafols","nicolas robinson-garcia, thed n. van leeuwen, ismael rafols",using altmetrics for contextualised mapping societal impact from hits to networks,science and public policy,"altmetrics, open science, research evaluation, social engagement, societal impact, twitter"
118,"Jabaley, CS; Groff, RF; Stentz, MJ; Moll, V; Lynde, GC; Blum, JM; O'Reilly-Shah, VN","Jabaley, Craig S.; Groff, Robert F.; Stentz, Michael J.; Moll, Vanessa; Lynde, Grant C.; Blum, James M.; O'Reilly-Shah, Vikas N.",Highly visible sepsis publications from 2012 to 2017: Analysis and comparison of altmetrics and bibliometrics,JOURNAL OF CRITICAL CARE,English,Article,Critical care; Sepsis; Information dissemination; Bibliometrics; Information science; Scholarly communication,2018,48,0,10.1016/j.jcrc.2018.09.033,"cs jabaley, rf groff, mj stentz, v moll, gc lynde, jm blum, vn o'reilly-shah","craig s. jabaley, robert f. groff, michael j. stentz, vanessa moll, grant c. lynde, james m. blum, vikas n. o'reilly-shah",highly visible sepsis publications from 2012 to 2017 analysis comparison altmetrics bibliometrics,journal of critical care,"bibliometrics, critical care, information dissemination, information science, scholarly communication, sepsis"
119,"Lezama-Nicolas, R; Rodriguez-Salvador, M; Rio-Belver, R; Bildosola, I","Lezama-Nicolas, Rene; Rodriguez-Salvador, Marisela; Rio-Belver, Rosa; Bildosola, Inaki",A bibliometric method for assessing technological maturity: the case of additive manufacturing,SCIENTOMETRICS,English,Article,Technology maturity; Technology readiness level; Technology life cycle; Bibliometrics; Additive manufacturing; 62-07; C13,2018,117,3,10.1007/s11192-018-2941-1,"r lezama-nicolas, m rodriguez-salvador, r rio-belver, i bildosola","rene lezama-nicolas, marisela rodriguez-salvador, rosa rio-belver, inaki bildosola",a bibliometric method for assessing technological maturity case additive manufacturing,scientometrics,"62-07, additive manufacturing, bibliometrics, c13, technology life cycle, technology maturity, technology readiness level"
120,"Tal, D; Gordon, A","Tal, Diana; Gordon, Avishag",Intellectual Leadership of Leonardo da Vinci: A Bibliometric Study,SOCIETY,English,Article,Bibliometrics; Altmetrics; Leonardo da Vinci; Intellectual leadership,2018,55,6,10.1007/s12115-018-0307-1,"d tal, a gordon","diana tal, avishag gordon",intellectual leadership leonardo da vinci a bibliometric study,society,"altmetrics, bibliometrics, intellectual leadership, leonardo da vinci"
121,"Huang, S; Martin, LJ; Yeh, CH; Chin, A; Murray, H; Sanderson, WB; Mohindra, R; Chan, TM; Thoma, B","Huang, Simon; Martin, Lynsey J.; Yeh, Calvin H.; Chin, Alvin; Murray, Heather; Sanderson, William B.; Mohindra, Rohit; Chan, Teresa M.; Thoma, Brent",The effect of an infographic promotion on research dissemination and readership: A randomized controlled trial,CANADIAN JOURNAL OF EMERGENCY MEDICINE,English,Article,infographics; knowledge translation; online educational resources; social media,2018,20,6,10.1017/cem.2018.436,"s huang, lj martin, ch yeh, a chin, h murray, wb sanderson, r mohindra, tm chan, b thoma","simon huang, lynsey j. martin, calvin h. yeh, alvin chin, heather murray, william b. sanderson, rohit mohindra, teresa m. chan, brent thoma",effect an infographic promotion on research dissemination readership a randomized controlled trial,canadian journal of emergency medicine,"infographics, knowledge translation, online educational resources, social media"
122,"Thelwall, M","Thelwall, Mike",Do females create higher impact research? Scopus citations and Mendeley readers for articles from five countries,JOURNAL OF INFORMETRICS,English,Article,Gender; Citation analysis; Altmetrics; Mendeley,2018,12,4,10.1016/j.joi.2018.08.005,m thelwall,mike thelwall,do females create higher impact research scopus citations mendeley readers for articles from five countries,journal of informetrics,"altmetrics, citation analysis, gender, mendeley"
123,"Park, H; Park, HW","Park, Hyejin; Park, Han Woo","Research evaluation of Asian countries using altmetrics: comparing South Korea, Japan, Taiwan, Singapore, and China",SCIENTOMETRICS,English,Article,Altmetrics; Altmetric mentions; Triple Helix; Quadruple Helix; Research evaluation; Asian countries,2018,117,2,10.1007/s11192-018-2884-6,"h park, hw park","hyejin park, han woo park",research evaluation asian countries using altmetrics comparing south korea japan taiwan singapore china,scientometrics,"altmetric mentions, altmetrics, asian countries, quadruple helix, research evaluation, triple helix"
124,"Xu, SM; Yu, HQ; Hemminger, BM; Dong, X","Xu, Shenmeng; Yu, Houqiang; Hemminger, Bradley M.; Dong, Xie","Who, what, why? An exploration of JoVE scientific video publications in tweets",SCIENTOMETRICS,English,Article,Altmetrics; Scholarly communication; Twitter; JoVE; Participation in science,2018,117,2,10.1007/s11192-018-2880-x,"sm xu, hq yu, bm hemminger, x dong","shenmeng xu, houqiang yu, bradley m. hemminger, xie dong",who what why an exploration jove scientific video publications in tweets,scientometrics,"altmetrics, jove, participation in science, scholarly communication, twitter"
125,"Wang, GY; Hu, GY; Li, CF; Tang, L","Wang, Guoyan; Hu, Guangyuan; Li, Chuanfeng; Tang, Li",Long live the scientists: Tracking the scientific fame of great minds in physics,JOURNAL OF INFORMETRICS,English,Article,Scientific fame; Own-group preference; Google corpus; Altmetricsa,2018,12,4,10.1016/j.joi.2018.08.008,"gy wang, gy hu, cf li, l tang","guoyan wang, guangyuan hu, chuanfeng li, li tang",long live scientists tracking scientific fame great minds in physics,journal of informetrics,"altmetricsa, google corpus, own-group preference, scientific fame"
126,"Wray, CM; Auerbach, AD; Arora, VM","Wray, Charlie M.; Auerbach, Andrew D.; Arora, Vineet M.",The Adoption of an Online Journal Club to Improve Research Dissemination and Social Media Engagement Among Hospitalists,JOURNAL OF HOSPITAL MEDICINE,English,Article,,2018,13,11,10.12788/jhm.2987,"cm wray, ad auerbach, vm arora","charlie m. wray, andrew d. auerbach, vineet m. arora",adoption an online journal club to improve research dissemination social media engagement among hospitalists,journal of hospital medicine,
127,"De Filippo, D; Serrano-Lopez, AE","De Filippo, Daniela; Eleazar Serrano-Lopez, Antonio","From academia to citizenry. Study of the flow of scientific information from projects to scientific journals and social media in the field of ""Energy saving""",JOURNAL OF CLEANER PRODUCTION,English,Article,Altmetrics; Research projects; Scientific information; Social media; Energy saving,2018,199,0,10.1016/j.jclepro.2018.07.177,"d de filippo, ae serrano-lopez","daniela de filippo, antonio eleazar serrano-lopez",from academia to citizenry study flow scientific information from projects to scientific journals social media in field energy saving,journal of cleaner production,"altmetrics, energy saving, research projects, scientific information, social media"
128,"Tai, TC; Robinson, JPW","Tai, Travis C.; Robinson, James P. W.",Enhancing Climate Change Research With Open Science,FRONTIERS IN ENVIRONMENTAL SCIENCE,English,Article,interdisciplinary; science communication; open access; reproducibility; citation metrics; altmetrics,2018,6,0,10.3389/fenvs.2018.00115,"tc tai, jpw robinson","travis c. tai, james p. w. robinson",enhancing climate change research with open science,frontiers in environmental science,"altmetrics, citation metrics, interdisciplinary, open access, reproducibility, science communication"
129,"Gadd, E; Rowlands, I","Gadd, Elizabeth; Rowlands, Ian",How can bibliometric and altmetric suppliers improve? Messages from the end-user community,INSIGHTS-THE UKSG JOURNAL,English,Article,Bibliometrics; altmetrics; end-users; suppliers; tools; services,2018,31,0,10.1629/uksg.437,"e gadd, i rowlands","elizabeth gadd, ian rowlands",how can bibliometric altmetric suppliers improve messages from end user community,insights the uksg journal,"altmetrics, bibliometrics, end-users, services, suppliers, tools"
130,"Cintra, PR; Furnival, AC; Milanez, DH","Cintra, Paulo Roberto; Furnival, Ariadne Chloe; Milanez, Douglas Henrique",The impact of open access citation and social media on leading top Information Science journals,INVESTIGACION BIBLIOTECOLOGICA,English,Article,Open Access; Journals; Information Science; Bibliometrics; Altmetrics,2018,32,77,10.22201/iibi.24488321xe.2018.77.57874,"pr cintra, ac furnival, dh milanez","paulo roberto cintra, ariadne chloe furnival, douglas henrique milanez",impact open access citation social media on leading top information science journals,investigacion bibliotecologica,"altmetrics, bibliometrics, information science, journals, open access"
131,"Segado-Boj, F; Martin-Quevedo, J; Prieto-Gutierrez, JJ","Segado-Boj, Francisco; Martin-Quevedo, Juan; Prieto-Gutierrez, Juan Jose","Attitudes toward Open Access, Open Peer Review, and Altmetrics among Contributors to Spanish Scholarly Journals",JOURNAL OF SCHOLARLY PUBLISHING,English,Article,altmetrics; open access; open peer review; scholarly communications; social media,2018,50,1,10.3138/jsp.50.1.08,"f segado-boj, j martin-quevedo, jj prieto-gutierrez","francisco segado-boj, juan martin-quevedo, juan jose prieto-gutierrez",attitudes toward open access open peer review altmetrics among contributors to spanish scholarly journals,journal of scholarly publishing,"altmetrics, open access, open peer review, scholarly communications, social media"
132,"Holmberg, K; Park, HW","Holmberg, Kim; Park, Han Woo",An altmetric investigation of the online visibility of South Korea-based scientific journals,SCIENTOMETRICS,English,Article,Altmetrics; Scientific journals; South Korea; Online attention,2018,117,1,10.1007/s11192-018-2874-8,"k holmberg, hw park","kim holmberg, han woo park",an altmetric investigation online visibility south korea based scientific journals,scientometrics,"altmetrics, online attention, scientific journals, south korea"
133,"Askeridis, JM","Askeridis, Johanna M.",An h index for Mendeley: comparison of citation-based h indices and a readership-based h(men) index for 29 authors,SCIENTOMETRICS,English,Article,h index; Citation; Readership; Mendeley; Scientific age,2018,117,1,10.1007/s11192-018-2882-8,jm askeridis,johanna m. askeridis,an h index for mendeley comparison citation based h indices a readership based h men index for 29 authors,scientometrics,"citation, h index, mendeley, readership, scientific age"
134,"Lutz, C; Hoffmann, CP","Lutz, Christoph; Hoffmann, Christian Pieter","Making Academic Social Capital Visible: Relating SNS-Based, Alternative and Traditional Metrics of Scientific Impact",SOCIAL SCIENCE COMPUTER REVIEW,English,Article,social media; social network sites; scientific impact; bibliometrics; altmetrics,2018,36,5,10.1177/0894439317721181,"c lutz, cp hoffmann","christoph lutz, christian pieter hoffmann",making academic social capital visible relating sns based alternative traditional metrics scientific impact,social science computer review,"altmetrics, bibliometrics, scientific impact, social media, social network sites"
135,"Zhang, LW; Wang, J","Zhang, Liwei; Wang, Jue",Why highly cited articles are not highly tweeted? A biology case,SCIENTOMETRICS,English,Article,Publication; Citation; Tweet; Twitter users; Timing of tweet,2018,117,1,10.1007/s11192-018-2876-6,"lw zhang, j wang","liwei zhang, jue wang",why highly cited articles are not highly tweeted a biology case,scientometrics,"citation, publication, timing of tweet, tweet, twitter users"
136,"Markusova, VA; Mindeli, LE; Bogorov, VG; Libkind, AN","Markusova, V. A.; Mindeli, L. E.; Bogorov, V. G.; Libkind, A. N.",An Altmetric As an Indicator of a Publication's Scientific Impact,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,English,Article,altmetrics; indicators; citation index; article usage indicator; publications; journal cited half-life; journal; Kendall rank correlation,2018,88,5,10.1134/s1019331618040123,"va markusova, le mindeli, vg bogorov, an libkind","v. a. markusova, l. e. mindeli, v. g. bogorov, a. n. libkind",an altmetric as an indicator a publications scientific impact,herald of the russian academy of sciences,"altmetrics, article usage indicator, citation index, indicators, journal, journal cited half-life, kendall rank correlation, publications"
137,"Asemi, A; Heydari, M","Asemi, Asefeh; Heydari, Mahboobeh",Correlation between the Articles Citations in Web of Science (WoS) and the Readership Rate in Mendeley and Research Gate (RG),JOURNAL OF SCIENTOMETRIC RESEARCH,English,Article,Scientometric; Webometric; Iranian scholars; Altmetric; Mendeley; ResearchGate (RG); Web of science (WoS); Citation; Readership,2018,7,3,10.5530/jscires.7.3.25,"a asemi, m heydari","asefeh asemi, mahboobeh heydari",correlation between articles citations in web science wos readership rate in mendeley research gate rg,journal of scientometric research,"altmetric, citation, iranian scholars, mendeley, readership, researchgate (rg), scientometric, web of science (wos), webometric"
138,"Stewart, A","Stewart, Alex","Can family business loosen the grips of accounting, economics, and finance?",JOURNAL OF FAMILY BUSINESS STRATEGY,English,Article,Disciplines; Balance of trade; Bibliometrics; Simmelian ties; Cross citations; Journals,2018,9,3,10.1016/j.jfbs.2018.06.001,a stewart,alex stewart,can family business loosen grips accounting economics finance,journal of family business strategy,"balance of trade, bibliometrics, cross citations, disciplines, journals, simmelian ties"
139,"Blakeman, K","Blakeman, Karen",Bibliometrics in a digital age: help or hindrance,SCIENCE PROGRESS,English,Article,,2018,101,3,10.3184/003685018x15337564592469,k blakeman,karen blakeman,bibliometrics in a digital age help or hindrance,science progress,
140,"Cheng, N; Dong, K","Cheng, Ni; Dong, Ke",Knowledge communication on social media: a case study of Biomedical Science on Baidu Baike,SCIENTOMETRICS,English,Article,Online encyclopedia; Social media; Altmetrics; Citation analysis; Co-occurrence analysis; Heterogeneous coupling; Knowledge communication and sharing,2018,116,3,10.1007/s11192-018-2828-1,"n cheng, k dong","ni cheng, ke dong",knowledge communication on social media a case study biomedical science on baidu baike,scientometrics,"altmetrics, citation analysis, co-occurrence analysis, heterogeneous coupling, knowledge communication and sharing, online encyclopedia, social media"
141,"Bar-Ilan, J; Halevi, G","Bar-Ilan, Judit; Halevi, Gali",Temporal characteristics of retracted articles,SCIENTOMETRICS,English,Article,Scientific fraud and dishonesty; Citation analysis; Altmetrics,2018,116,3,10.1007/s11192-018-2802-y,"j bar-ilan, g halevi","judit bar-ilan, gali halevi",temporal characteristics retracted articles,scientometrics,"altmetrics, citation analysis, scientific fraud and dishonesty"
142,"Galvez, C","Galvez, Carmen",Co-word analysis applied to highly cited papers in Library and Information Science (2007-2017),TRANSINFORMACAO,Spanish,Article,Co-word analysis; Citation analyses; Librarianship; Information Sciences; Scientometrics,2018,30,3,10.1590/2318-08892018000300001,c galvez,carmen galvez,co word analysis applied to highly cited papers in library information science 2007 2017,transinformacao,"citation analyses, co-word analysis, information sciences, librarianship, scientometrics"
143,"Ruano, J; Aguilar-Luque, M; Isla-Tejera, B; Alcalde-Mellado, P; Gay-Mimbrera, J; Hernandez-Romero, JL; Sanz-Cabanillas, JL; Maestre-Lopez, B; Gonzalez-Padilla, M; Carmona-Fernandez, PJ; Gomez-Garcia, F; Garcia-Nieto, AV","Ruano, J.; Aguilar-Luque, M.; Isla-Tejera, B.; Alcalde-Mellado, P.; Gay-Mimbrera, J.; Hernandez-Romero, J. L.; Sanz-Cabanillas, J. L.; Maestre-Lopez, B.; Gonzalez-Padilla, M.; Carmona-Fernandez, P. J.; Gomez-Garcia, F.; Velez Garcia-Nieto, A.",Relationships between abstract features and methodological quality explained variations of social media activity derived from systematic reviews about psoriasis interventions,JOURNAL OF CLINICAL EPIDEMIOLOGY,English,Article,Psoriasis; Systematic reviews; Methodological quality; AMSTAR; PRISMA for abstract; Abstract readability; Altmetrics,2018,101,0,10.1016/j.jclinepi.2018.05.015,"j ruano, m aguilar-luque, b isla-tejera, p alcalde-mellado, j gay-mimbrera, jl hernandez-romero, jl sanz-cabanillas, b maestre-lopez, m gonzalez-padilla, pj carmona-fernandez, f gomez-garcia, av garcia-nieto","j. ruano, m. aguilar-luque, b. isla-tejera, p. alcalde-mellado, j. gay-mimbrera, j. l. hernandez-romero, j. l. sanz-cabanillas, b. maestre-lopez, m. gonzalez-padilla, p. j. carmona-fernandez, f. gomez-garcia, a. velez garcia-nieto",relationships between abstract features methodological quality explained variations social media activity derived from systematic reviews about psoriasis interventions,journal of clinical epidemiology,"abstract readability, altmetrics, amstar, methodological quality, prisma for abstract, psoriasis, systematic reviews"
144,"Ortega, JL","Luis Ortega, Jose","Reliability and accuracy of altmetric providers: a comparison among Altmetric.com, PlumX and Crossref Event Data",SCIENTOMETRICS,English,Article,Altmetric.com; PlumX; Crossref Event Data; Altmetrics; Data providers,2018,116,3,10.1007/s11192-018-2838-z,jl ortega,jose luis ortega,reliability accuracy altmetric providers a comparison among altmetric plumx crossref event data,scientometrics,"altmetric.com, altmetrics, crossref event data, data providers, plumx"
145,"Powell, AGMT; Bevan, V; Brown, C; Lewis, WG","Powell, Arfon G. M. T.; Bevan, Victoria; Brown, Chris; Lewis, Wyn G.",Altmetric Versus Bibliometric Perspective Regarding Publication Impact and Force,WORLD JOURNAL OF SURGERY,English,Article,,2018,42,9,10.1007/s00268-018-4579-9,"agmt powell, v bevan, c brown, wg lewis","arfon g. m. t. powell, victoria bevan, chris brown, wyn g. lewis",altmetric versus bibliometric perspective regarding publication impact force,world journal of surgery,
146,"Pulido, CM; Redondo-Sama, G; Sorde-Marti, T; Flecha, R","Pulido, Cristina M.; Redondo-Sama, Gisela; Sorde-Marti, Teresa; Flecha, Ramon",Social impact in social media: A new method to evaluate the social impact of research,PLOS ONE,English,Article,,2018,13,8,10.1371/journal.pone.0203117,"cm pulido, g redondo-sama, t sorde-marti, r flecha","cristina m. pulido, gisela redondo-sama, teresa sorde-marti, ramon flecha",social impact in social media a new method to evaluate social impact research,plos one,
147,"Ortega, JL","Luis Ortega, Jose",The life cycle of altmetric impact: A longitudinal study of six metrics from PlumX,JOURNAL OF INFORMETRICS,English,Article,Altmetrics; PlumX; Citations; Readers; Tweets; Longitudinal study,2018,12,3,10.1016/j.joi.2018.06.001,jl ortega,jose luis ortega,life cycle altmetric impact a longitudinal study six metrics from plumx,journal of informetrics,"altmetrics, citations, longitudinal study, plumx, readers, tweets"
148,"Yu, HQ; Xu, SM; Xiao, TT","Yu, Houqiang; Xu, Shenmeng; Xiao, Tingting",Is there Lingua Franca in informal scientific communication? Evidence from language distribution of scientific tweets,JOURNAL OF INFORMETRICS,English,Article,Altmetrics; Scientific tweets; Language distribution; Informal scientific communication; Twitter,2018,12,3,10.1016/j.joi.2018.06.003,"hq yu, sm xu, tt xiao","houqiang yu, shenmeng xu, tingting xiao",is there lingua franca in informal scientific communication evidence from language distribution scientific tweets,journal of informetrics,"altmetrics, informal scientific communication, language distribution, scientific tweets, twitter"
149,"Lepori, B; Thelwall, M; Hoorani, BH","Lepori, Benedetto; Thelwall, Michael; Hoorani, Bareerah Hafeez",Which US and European Higher Education Institutions are visible in ResearchGate and what affects their RG score?,JOURNAL OF INFORMETRICS,English,Article,ResearchGate score; Institutional profiles; Higher education institutions; Altmetrics,2018,12,3,10.1016/j.joi.2018.07.001,"b lepori, m thelwall, bh hoorani","benedetto lepori, michael thelwall, bareerah hafeez hoorani",which us european higher education institutions are visible in researchgate what affects their rg score,journal of informetrics,"altmetrics, higher education institutions, institutional profiles, researchgate score"
150,"Bornmann, L; Haunschild, R","Bornmann, Lutz; Haunschild, Robin",Normalization of zero-inflated data: An empirical analysis of a new indicator family and its use with altmetrics data,JOURNAL OF INFORMETRICS,English,Article,Zero-inflated data; Citation counts; Altmetrics; Equalized Mean-based Normalized Proportion Cited (EMNPC); Mean-based Normalized Proportion Cited (MNPC); Mantel-Haenszel quotient (MHq),2018,12,3,10.1016/j.joi.2018.01.010,"l bornmann, r haunschild","lutz bornmann, robin haunschild",normalization zero inflated data an empirical analysis a new indicator family its use with altmetrics data,journal of informetrics,"altmetrics, citation counts, equalized mean-based normalized proportion cited (emnpc), mantel-haenszel quotient (mhq), mean-based normalized proportion cited (mnpc), zero-inflated data"
151,"Didegah, F; Thelwall, M","Didegah, Fereshteh; Thelwall, Mike","Co-saved, co-tweeted, and co-cited networks",JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,English,Article,,2018,69,8,10.1002/asi.24028,"f didegah, m thelwall","fereshteh didegah, mike thelwall",co saved co tweeted co cited networks,journal of the association for information science and technology,
