,base,authors_l,title_l,title,journal_l,keywords_l,year,doi
147,dimensions,"bryan g kane, vicken y totten, chadd k kraus, michael allswede, deborah b diercks, nidhi garg, louis ling, eric n mcdonald, alex m rosenau, mike wilk, alexandria d holmes, adam hemminger, marna rayl greenberg",creating consensus revisiting the emergency medicine resident scholarly activity requirement,Creating Consensus: Revisiting the Emergency Medicine Resident Scholarly Activity Requirement,western journal of emergency medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.5811/westjem.2018.10.39293
148,dimensions,"purvi parwani, andrew d. choi, juan lopez-mattei, samreen raza, tiffany chen, akhil narang, erin d. michos, john p. erwin, mamas a. mamas, martha gulati",understanding social media opportunities for cardiovascular medicine,Understanding Social Media Opportunities for Cardiovascular Medicine,journal of the american college of cardiology,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1117 public health and health services",2019,10.1016/j.jacc.2018.12.044
149,dimensions,"mateus bertolini fernandes dos santos, bernardo antonio agostini, rafael ratto moraes, falk schwendicke, rafael sarkis-onofre",industry sponsorship bias in clinical trials in implant dentistry systematic review and metaregression,Industry sponsorship bias in clinical trials in implant dentistry: Systematic review and meta‐regression,journal of clinical periodontology,"11 medical and health sciences, 1103 clinical sciences",2019,10.1111/jcpe.13100
150,dimensions,miranda olff,facts on psychotraumatology,Facts on psychotraumatology,european journal of psychotraumatology,"21 history and archaeology, 2103 historical studies",2019,10.1080/20008198.2019.1578524
151,dimensions,"matilde giacomello, cristina canova, renzo zanotti",contribution of italian nursing professors to international literature a 2000 2016 review,Contribution of Italian Nursing Professors to International Literature: a 2000 – 2016 review,nursing outlook,"11 medical and health sciences, 1110 nursing",2019,10.1016/j.outlook.2019.02.011
152,dimensions,"chesney s oravec, mustafa motiwala, kevin reed, tamekia l jones, paul klimo",big data research in pediatric neurosurgery content statistical output and bibliometric analysis,"Big Data Research in Pediatric Neurosurgery: Content, Statistical Output, and Bibliometric Analysis",pediatric neurosurgery,"11 medical and health sciences, 1109 neurosciences, 1114 paediatrics and reproductive medicine",2019,10.1159/000495790
154,dimensions,mark vrabel,beyond the impact factor,Beyond the Impact Factor.,oncology nursing forum,"11 medical and health sciences, 1110 nursing",2019,10.1188/19.onf.143-145
155,dimensions,"robert j motzer, konstantin penkov, john haanen, brian rini, laurence albiges, matthew t campbell, balaji venugopal, christian kollmannsberger, sylvie negrier, motohide uemura, jae l lee, aleksandr vasiliev, wilson h miller, howard gurney, manuela schmidinger, james larkin, michael b atkins, jens bedke, boris alekseev, jing wang, mariangela mariani, paul b robbins, aleksander chudnovsky, camilla fowst, subramanian hariharan, bo huang, alessandra di pietro, toni k choueiri",avelumab plus axitinib versus sunitinib for advanced renal cell carcinoma,Avelumab plus Axitinib versus Sunitinib for Advanced Renal-Cell Carcinoma,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1056/nejmoa1816047
156,dimensions,gregor reid,disentangling what we know about microbes and mental health,Disentangling What We Know About Microbes and Mental Health,frontiers in endocrinology,"11 medical and health sciences, 1109 neurosciences",2019,10.3389/fendo.2019.00081
157,dimensions,"sara schroter, julia pakpoor, julie morris, mabel chew, fiona godlee",effect of different financial competing interest statements on readers perceptions of clinical educational articles a randomised controlled trial,Effect of different financial competing interest statements on readers’ perceptions of clinical educational articles: a randomised controlled trial,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences",2019,10.1136/bmjopen-2018-025029
158,dimensions,"william o'riordan, sinikka green, j scott overcash, ivan puljiz, symeon metallidis, j gardovskis, lynne garrity-ryan, anita f das, evan tzanis, paul b eckburg, amy manley, stephen a villano, judith n steenbergen, evan loh",omadacycline for acute bacterial skin and skin structure infections,Omadacycline for Acute Bacterial Skin and Skin-Structure Infections,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2019,10.1056/nejmoa1800170
159,dimensions,"moises villasenor-almaraz, juan islas-serrano, chiharu murata, ernesto roldan-valadez",impact factor correlations with scimago journal rank source normalized impact per paper eigenfactor score and the citescore in radiology nuclear medicine medical imaging journals,"Impact factor correlations with Scimago Journal Rank, Source Normalized Impact per Paper, Eigenfactor Score, and the CiteScore in Radiology, Nuclear Medicine & Medical Imaging journals",la radiologia medica,"11 medical and health sciences, 1103 clinical sciences",2019,10.1007/s11547-019-00996-z
160,dimensions,"debra rand, leanna stager",promoting and tracking institutional scholarship with implementation of a librarian curated digital repository and research information management system,Promoting and Tracking Institutional Scholarship with Implementation of a Librarian-Curated Digital Repository and Research Information Management System,medical reference services quarterly,"08 information and computing sciences, 0806 information systems",2018,10.1080/02763869.2018.1514904
162,dimensions,"lauren a maggio, chelsea l ratcliff, melinda krakow, laura l moorhead, asura enkhbayar, juan pablo alperin",making headlines an analysis of us government funded cancer research mentioned in online media,Making headlines: an analysis of US government-funded cancer research mentioned in online media,bmj open,"11 medical and health sciences, 1112 oncology and carcinogenesis, 1117 public health and health services",2019,10.1136/bmjopen-2018-025783
163,dimensions,marcel p. dijkers,a beginners guide to data stewardship and data sharing,A beginner’s guide to data stewardship and data sharing,spinal cord,"11 medical and health sciences, 1103 clinical sciences, 1106 human movement and sports science, 1109 neurosciences",2019,10.1038/s41393-018-0232-6
164,dimensions,"edwin d. boudreaux, stephen e. higgins, rebecca reznik-zellen, bo wang, gregory volturo",scholarly productivity and impact developing a quantifiable normbased benchmarking methodology for academic emergency medicine,"Scholarly Productivity and Impact: Developing a Quantifiable, Norm‐based Benchmarking Methodology for Academic Emergency Medicine",academic emergency medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1111/acem.13704
165,dimensions,"adam g. dunn, liat orenstein, enrico coiera, kenneth d. mandl, florence t. bourgeois",the timing and frequency of trial inclusion in systematic reviews of type 2 diabetes drugs was associated with trial characteristics,The timing and frequency of trial inclusion in systematic reviews of type 2 diabetes drugs was associated with trial characteristics,journal of clinical epidemiology,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.jclinepi.2019.01.009
166,dimensions,"simon wakeling, claire creaser, stephen pinfield, jenny fry, valerie spezi, peter willett, monica paramita",motivations understandings and experiences of openaccess megajournal authors results of a largescale survey,"Motivations, understandings, and experiences of open‐access mega‐journal authors: Results of a large‐scale survey",journal of the association for information science and technology,"08 information and computing sciences, 0806 information systems",2019,10.1002/asi.24154
167,dimensions,"p. ahmad, p. m. h. dummer, t. y. noorani, j. a. asif",the top 50 mostcited articles published in the international endodontic journal,The top 50 most‐cited articles published in the International Endodontic Journal,international endodontic journal,"11 medical and health sciences, 1105 dentistry",2019,10.1111/iej.13083
168,dimensions,"philip j. landrigan, joseph m. braun, ellen f. crain, joel forman, maida galvez, benjamin a. gitterman, gali halevi, catherine karr, jennifer kathleen mall, jerome a. paulson, alan d. woolf, bruce p. lanphear, robert o. wright",building capacity in pediatric environmental health a fifteen year report on the academic pediatric associations professional development program,Building Capacity in Pediatric Environmental Health: A Fifteen-Year Report on the Academic Pediatric Association's Professional Development Program,academic pediatrics,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.acap.2019.01.001
169,dimensions,"alberto ortiz, caroline vinck",the new clinical kidney journal 4 years later,"The new Clinical Kidney Journal, 4 years later",clinical kidney journal,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2019,10.1093/ckj/sfy139
170,dimensions,"marc l. molendijk, eiko i. fried, willem van der does",the smiles trial do undisclosed recruitment practices explain the remarkably large effect,The SMILES trial: do undisclosed recruitment practices explain the remarkably large effect?,bmc medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1186/s12916-018-1221-5
171,dimensions,"nikki l stamp, jessica g y luc, maral ouzounian, farah bhatti, tamara ni hici, mara b antonoff",social media as a tool to rewrite the narrative for women in cardiothoracic surgery,Social media as a tool to rewrite the narrative for women in cardiothoracic surgery,interactive cardiovascular and thoracic surgery,"11 medical and health sciences, 1103 clinical sciences",2019,10.1093/icvts/ivy358
172,dimensions,"jean-philippe bouchara, vishnu chaturvedi",the curious case of case report of infections caused by human and animal fungal pathogens an educational tool an online archive or a format in need of retooling,"The Curious Case of “Case Report” of Infections Caused by Human and Animal Fungal Pathogens: An Educational Tool, an Online Archive, or a Format in Need of Retooling",mycopathologia,"06 biological sciences, 0605 microbiology",2018,10.1007/s11046-018-0314-1
173,dimensions,"david b. t. robinson, luke hopkins, chris brown, tarig abdelrahman, arfon g. powell, richard j. egan, wyn g. lewis",relative value of adapted novel bibliometrics in evaluating surgical academic impact and reach,Relative Value of Adapted Novel Bibliometrics in Evaluating Surgical Academic Impact and Reach,world journal of surgery,"11 medical and health sciences, 1103 clinical sciences",2019,10.1007/s00268-018-04893-w
174,dimensions,"mitch wilson, david moher",the changing landscape of journalology in medicine,The Changing Landscape of Journalology in Medicine,seminars in nuclear medicine,"11 medical and health sciences, 1103 clinical sciences",2019,10.1053/j.semnuclmed.2018.11.009
175,dimensions,mikhail g dozmorov,github statistics as a measure of the impact of open source bioinformatics software,GitHub Statistics as a Measure of the Impact of Open-Source Bioinformatics Software,frontiers in bioengineering and biotechnology,"08 information and computing sciences, 0803 computer software, 0806 information systems",2018,10.3389/fbioe.2018.00198
176,dimensions,lucy chard,welcome to the 11th volume of epigenomics,Welcome to the 11th volume of Epigenomics,epigenomics,"09 engineering, 0912 materials engineering",2019,10.2217/epi-2018-0198
177,dimensions,"daniel s. katz, gabrielle allen, lorena a. barba, devin r. berg, holly bik, carl boettiger, christine l. borgman, c. titus brown, stuart buck, randy burd, anita de waard, martin paul eve, brian e. granger, josh greenberg, adina howe, bill howe, may khanna, timothy l. killeen, matthew mayernik, erin mckiernan, chris mentzel, nirav merchant, kyle e. niemeyer, laura noren, sarah m. nusser, daniel a. reed, edward seidel, mackenzie smith, jeffrey r. spies, matt turk, john d. van horn, jay walsh",the principles of tomorrows university,The principles of tomorrow's university,f1000research,"13 education, 1303 specialist studies in education",2018,10.12688/f1000research.17425.1
178,dimensions,"hye jeong kim, dae young yoon, eun soo kim, eun joo yun, hong jun jeon, jong young lee, byung-moon cho",the most mentioned neurointervention articles in online media a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,The most mentioned neurointervention articles in online media: a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,journal of neurointerventional surgery,"08 information and computing sciences, 0801 artificial intelligence and image processing",2019,10.1136/neurintsurg-2018-014368
179,dimensions,"andrew d. benton, david c. benton",evolution of physiotherapy scholarship a comparative bibliometric analysis of two decades of english published work,Evolution of physiotherapy scholarship: A comparative bibliometric analysis of two decades of English published work,physiotherapy research international,"11 medical and health sciences, 1103 clinical sciences",2019,10.1002/pri.1760
180,dimensions,"suzan dijkstra, gautam kok, julie g. ledford, elena sandalova, remi stevelink",possibilities and pitfalls of social media for translational medicine,Possibilities and Pitfalls of Social Media for Translational Medicine,frontiers in medicine,"16 studies in human society, 1608 sociology",2018,10.3389/fmed.2018.00345
181,dimensions,"carter j. boyd, zachary l. gentry, kimberly d. martin, soroush rais-bahrami",factors associated with the highest and lowest cited research articles in urology journals,Factors associated with the highest and lowest cited research articles in urology journals,urology,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.urology.2018.11.034
182,dimensions,"ernesto roldan-valadez, shirley yoselin salazar-ruiz, rafael ibarra-contreras, camilo rios",current concepts on bibliometrics a brief review about impact factor eigenfactor score citescore scimago journal rank source normalised impact per paper h index and alternative metrics,"Current concepts on bibliometrics: a brief review about impact factor, Eigenfactor score, CiteScore, SCImago Journal Rank, Source-Normalised Impact per Paper, H-index, and alternative metrics",irish journal of medical science,11 medical and health sciences,2019,10.1007/s11845-018-1936-5
183,dimensions,"latefa ali dardas, amanda woodward, jewel scott, hanzhang xu, faleh a. sawair",measuring the social impact of nursing research an insight into altmetrics,Measuring the social impact of nursing research: An insight into altmetrics,journal of advanced nursing,"11 medical and health sciences, 1117 public health and health services",2019,10.1111/jan.13921
184,dimensions,mike gregg,immunotherapy foreword 2018,Immunotherapy Foreword 2018,immunotherapy,"11 medical and health sciences, 1103 clinical sciences, 1107 immunology, 1115 pharmacology and pharmaceutical sciences",2018,10.2217/imt-2018-0183
185,dimensions,"kjetil soreide, graham mackenzie, karol polom, laura lorenzon, helen mohan, julio mayol",tweeting the meeting quantitative and qualitative twitter activity during the 38th esso conference,Tweeting the meeting: Quantitative and qualitative twitter activity during the 38th ESSO conference,european journal of surgical oncology,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.ejso.2018.11.020
186,dimensions,"jiantao bian, samir abdelrahman, jianlin shi, guilherme del fiol",automatic identification of recent high impact clinical articles in pubmed to support clinical decision making using time agnostic features,Automatic Identification of Recent High Impact Clinical Articles in PubMed to Support Clinical Decision Making Using Time-agnostic Features,journal of biomedical informatics,"08 information and computing sciences, 0801 artificial intelligence and image processing",2019,10.1016/j.jbi.2018.11.010
187,dimensions,"cortino sukotjo, anam khan, judy chia-chun yuan, fatemeh afshari, darien weatherspoon, alvin g. wee",research productivity of directors of u s advanced education in prosthodontics programs,Research Productivity of Directors of U.S. Advanced Education in Prosthodontics Programs,journal of dental education,"13 education, 1303 specialist studies in education",2018,10.21815/jde.018.136
188,dimensions,"wei cheng, qiaoying kang, qinghua xiao",a bibliometric analysis of the top 100 influential papers on carotid artery stenting,A bibliometric analysis of the top 100 influential papers on carotid artery stenting,world neurosurgery,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2019,10.1016/j.wneu.2018.11.042
189,dimensions,"r. swamy venuturupalli, paul sufka, suleman bhana",digital medicine in rheumatology challenges and opportunities,Digital Medicine in Rheumatology Challenges and Opportunities,rheumatic disease clinics of north america,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.rdc.2018.09.010
190,dimensions,"benjamin e byrne, leila rooshenas, helen lambert, jane m blazeby",evidence into practice protocol for a new mixed methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,Evidence into practice: protocol for a new mixed-methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,bmj open,"11 medical and health sciences, 1117 public health and health services",2018,10.1136/bmjopen-2018-023215
191,dimensions,"claire f. smith, gabrielle m. finn, catherine hennessy, ciara luscombe, jane stewart, stephen mchanwell",the initial impact of the anatomical society gross anatomy core syllabus for medicine in the united kingdom student and teacher perspectives,The Initial Impact of the Anatomical Society Gross Anatomy Core Syllabus for Medicine in the United Kingdom: Student and Teacher Perspectives,anatomical sciences education,"13 education, 1303 specialist studies in education",2019,10.1002/ase.1826
192,dimensions,"rola el rassi, lokman i meho, acile nahlawi, johnny s salameh, ali bazarbachi, elie a akl",medical research productivity in the arab countries 2007 2016 bibliometric analysis,Medical research productivity in the Arab countries: 2007-2016 bibliometric analysis,journal of global health,"16 studies in human society, 1608 sociology",2018,10.7189/jogh.08.020411
193,dimensions,"linda s murphy, chadd k kraus, shahram lotfipour, michael gottlieb, james r langabeer, mark i langdorf",measuring scholarly productivity a primer for junior faculty part iii understanding publication metrics,Measuring Scholarly Productivity: A Primer for Junior Faculty. Part III: Understanding Publication Metrics,western journal of emergency medicine,"17 psychology and cognitive sciences, 1701 psychology",2018,10.5811/westjem.2018.9.38213
194,dimensions,"rene lezama-nicolas, marisela rodriguez-salvador, rosa rio-belver, inaki bildosola",a bibliometric method for assessing technological maturity the case of additive manufacturing,A bibliometric method for assessing technological maturity: the case of additive manufacturing,scientometrics,"08 information and computing sciences, 0807 library and information studies, 16 studies in human society, 1605 policy and administration",2018,10.1007/s11192-018-2941-1
195,dimensions,jose d. perezgonzalez,three more steps toward better science,Three more steps toward better science,f1000research,"01 mathematical sciences, 0104 statistics",2018,10.12688/f1000research.16358.1
196,dimensions,"emma nicholson, tara murphy, philip larkin, charles normand, suzanne guerin",findings from a thematic synthesis of key messages from a palliative care research network the kindle project,Findings From a Thematic Synthesis of Key Messages From a Palliative Care Research Network: The KINDLE Project,american journal of hospice and palliative medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1177/1049909118806461
197,dimensions,"melany lopez, teresa m. chan, brent thoma, vineet m. arora, n. seth trueger",the social media editor at medical journals,The Social Media Editor at Medical Journals,academic medicine,"13 education, 1302 curriculum and pedagogy",2019,10.1097/acm.0000000000002496
198,dimensions,kjetil soreide,numbers needed to tweet social media and surgery,Numbers needed to tweet: Social media and surgery,european journal of surgical oncology,"11 medical and health sciences, 1112 oncology and carcinogenesis",2019,10.1016/j.ejso.2018.10.054
199,dimensions,"c wayant, m vassar",a comparison of matched interim analysis publications and final analysis publications in oncology clinical trials,A comparison of matched interim analysis publications and final analysis publications in oncology clinical trials.,annals of oncology,"11 medical and health sciences, 1103 clinical sciences",2018,10.1093/annonc/mdy447
200,dimensions,"sasha e. knowlton, sabrina paganoni, william niehaus, monica verduzco-gutierrez, raman sharma, mary a. iaccarino, todd hayano, jeffrey c. schneider, julie k. silver",measuring the impact of research using conventional and alternative metrics,Measuring the Impact of Research Using Conventional and Alternative Metrics,american journal of physical medicine rehabilitation,"11 medical and health sciences, 1117 public health and health services",2019,10.1097/phm.0000000000001066
201,dimensions,"simon huang, lynsey j. martin, calvin h. yeh, alvin chin, heather murray, william b. sanderson, rohit mohindra, teresa m. chan, brent thoma",the effect of an infographic promotion on research dissemination and readership a randomized controlled trial,The effect of an infographic promotion on research dissemination and readership: A randomized controlled trial,canadian journal of emergency medicine,"11 medical and health sciences, 1103 clinical sciences",2018,10.1017/cem.2018.436
202,dimensions,"andreas meier, dirk tunger",survey on opinions and usage patterns for the researchgate platform,Survey on opinions and usage patterns for the ResearchGate platform,plos one,"16 studies in human society, 1608 sociology",2018,10.1371/journal.pone.0204945
203,dimensions,"lesley a. schimanski, juan pablo alperin",the evaluation of scholarship in academic promotion and tenure processes past present and future,"The evaluation of scholarship in academic promotion and tenure processes: Past, present, and future",f1000research,"16 studies in human society, 1605 policy and administration",2018,10.12688/f1000research.16493.1
204,dimensions,"maria del carmen gimenez-espert, vicente javier prado-gasco",bibliometric analysis of six nursing journals from the web of science 20122017,"Bibliometric analysis of six nursing journals from the Web of Science, 2012–2017",journal of advanced nursing,"11 medical and health sciences, 1110 nursing",2019,10.1111/jan.13868
205,dimensions,"mandy geserick, mandy vogel, ruth gausche, tobias lipek, ulrike spielau, eberhard keller, roland pfaffle, wieland kiess, antje korner",acceleration of bmi in early childhood and risk of sustained obesity,Acceleration of BMI in Early Childhood and Risk of Sustained Obesity,new england journal of medicine,"11 medical and health sciences, 1114 paediatrics and reproductive medicine, 1117 public health and health services",2018,10.1056/nejmoa1803527
206,dimensions,"jadranka stojanovska, alex tsodikov, richard k.j. brown, n. reed dunnick",adjusted citation rate an alternative metric to measure the impact of general radiology journals,"Adjusted Citation Rate, an Alternative Metric to Measure the Impact of General Radiology Journals",academic radiology,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.acra.2018.09.004
207,dimensions,"milton eder, eunbyul evans, melanie funes, hui hong, katja reuter, syed ahmed, karen calhoun, giselle corbie-smith, gaurav dave, mia defino, eileen harwood, anne kissack, lawrence c. kleinman, nina wallerstein",defining and measuring community engagement and community engaged research clinical and translational science institutional practices,Defining and Measuring Community Engagement and Community-Engaged Research: Clinical and Translational Science Institutional Practices,progress in community health partnerships research education and action,"11 medical and health sciences, 1117 public health and health services",2018,10.1353/cpr.2018.0034
208,dimensions,"robin champieux, heather coates, stacy konkiel, karen gutzman",metrics toolkit an online evidence based resource for navigating the research metrics landscape,Metrics Toolkit: an online evidence-based resource for navigating the research metrics landscape,journal of the medical library association,"08 information and computing sciences, 0806 information systems",2018,10.5195/jmla.2018.526
209,dimensions,katherine g akers,report from the medical library associations insight initiative summit 1 engaging users in a disruptive era,Report from the Medical Library Association’s InSight Initiative Summit 1: Engaging Users in a Disruptive Era,journal of the medical library association,"08 information and computing sciences, 0806 information systems",2018,10.5195/jmla.2018.561
210,dimensions,"craig s. jabaley, robert f. groff, michael j. stentz, vanessa moll, grant c. lynde, james m. blum, vikas n. o'reilly-shah",highly visible sepsis publications from 2012 to 2017 analysis and comparison of altmetrics and bibliometrics,Highly visible sepsis publications from 2012 to 2017: Analysis and comparison of altmetrics and bibliometrics,journal of critical care,"11 medical and health sciences, 1103 clinical sciences, 1110 nursing",2018,10.1016/j.jcrc.2018.09.033
211,dimensions,"solomon hayon, hemantkumar tripathi, ian m. stormont, meagan m. dunne, michael j. naslund, m. minhaj siddiqui",twitter mentions and academic citations in the urology literature,Twitter Mentions and Academic Citations in the Urology Literature,urology,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.urology.2018.08.041
212,dimensions,"susan hampshaw, jo cooke, laurie mott",what is a research derived actionable tool and what factors should be considered in their development a delphi study,"What is a research derived actionable tool, and what factors should be considered in their development? A Delphi study",bmc health services research,"11 medical and health sciences, 1117 public health and health services",2018,10.1186/s12913-018-3551-6
213,dimensions,"emily l. howell, christopher d. wirz, dominique brossard, kathleen hall jamieson, dietram a. scheufele, kenneth m. winneg, michael a. xenos",national academies of sciences engineering and medicine report on genetically engineered crops influences public discourse,"National Academies of Sciences, Engineering, and Medicine report on genetically engineered crops influences public discourse",politics and the life sciences,"16 studies in human society, 1608 sociology",2018,10.1017/pls.2018.12
214,dimensions,"natalia cristina ruy carneiro, heloisa vieira prado, tahyna duda deps almeida, isabela almeida pordeus, ana cristina borges-oliveira, carolina castro martins",a survey of dental journal methodological practices reporting guidelines and ethical policies,A survey of dental journal methodological practices Reporting guidelines and ethical policies,the journal of the american dental association,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.adaj.2018.08.008
215,dimensions,"lauren a. maggio, aliki thomas, h. carrie chen, john p. a. ioannidis, steven l. kanter, candace norton, nancy h. tannery, anthony r. artino jr.",examining the readiness of best evidence in medical education guides for integration into educational practice a meta synthesis,Examining the readiness of best evidence in medical education guides for integration into educational practice: A meta-synthesis,perspectives on medical education,"11 medical and health sciences, 1117 public health and health services",2018,10.1007/s40037-018-0450-9
216,dimensions,"jenny z. wang, aunna pourang, barbara burrall",open access medical journals benefits and challenges,Open Access Medical Journals: Benefits and challenges,clinics in dermatology,"11 medical and health sciences, 1103 clinical sciences",2019,10.1016/j.clindermatol.2018.09.010
217,dimensions,"charlie m wray, andrew d auerbach, vineet m arora",the adoption of an online journal club to improve research dissemination and social media engagement among hospitalists,The Adoption of an Online Journal Club to Improve Research Dissemination and Social Media Engagement Among Hospitalists.,journal of hospital medicine,"11 medical and health sciences, 1117 public health and health services",2018,10.12788/jhm.2987
218,dimensions,"anthony bozzo, colby oitment, nathan evaniew, michelle ghert",the journal impact factor of orthopaedic journals does not predict individual paper citation rate,The Journal Impact Factor of Orthopaedic Journals Does not Predict Individual Paper Citation Rate,jaaos global research and reviews,"11 medical and health sciences, 1103 clinical sciences",2017,10.5435/jaaosglobal-d-17-00007
219,dimensions,"zoe e. taylor, carly d. evich, kristine marceau, nayantara nair, blake l. jones",associations between effortful control cortisol awakening response and depressive problems in latino preadolescents,"Associations Between Effortful Control, Cortisol Awakening Response, and Depressive Problems in Latino Preadolescents",the journal of early adolescence,"17 psychology and cognitive sciences, 1701 psychology",2019,10.1177/0272431618798509
220,dimensions,"may o. lwin, jiahui lu, anita sheldenkar, peter j. schulz",strategic uses of facebook in zika outbreak communication implications for the crisis and emergency risk communication model,Strategic Uses of Facebook in Zika Outbreak Communication: Implications for the Crisis and Emergency Risk Communication Model,international journal of environmental research and public health,"11 medical and health sciences, 1117 public health and health services",2018,10.3390/ijerph15091974
221,dimensions,"junmin zhao, zhiwen zhai, yanan li, shuaifeng geng, gaoyuan song, jiantao guan, meiling jia, fang wang, guoliang sun, nan feng, xingchen kong, liang chen, long mao, aili li",genome wide identification and expression profiling of the tcp family genes in spike and grain development of wheat triticum aestivum l,Genome-Wide Identification and Expression Profiling of the TCP Family Genes in Spike and Grain Development of Wheat (Triticum aestivum L.),frontiers in plant science,"06 biological sciences, 0604 genetics, 0607 plant biology",2018,10.3389/fpls.2018.01282
222,dimensions,"hendrik borgmann, matthew cooperberg, declan murphy, stacy loeb, james n'dow, maria jose ribal, henry woo, morgan roupret, andrew winterbottom, carl wijburg, manfred wirth, james catto, alexander kutikov",online professionalism2018 update of european association of urology uroweb recommendations on the appropriate use of social media,Online Professionalism—2018 Update of European Association of Urology (@Uroweb) Recommendations on the Appropriate Use of Social Media,european urology,"11 medical and health sciences, 1117 public health and health services",2018,10.1016/j.eururo.2018.08.022
223,dimensions,"yang li, chaojiang wu, erjia yan, kai li",will open access increase journal citescores an empirical investigation over multiple disciplines,Will open access increase journal CiteScores? An empirical investigation over multiple disciplines,plos one,"14 economics, 1402 applied economics",2018,10.1371/journal.pone.0201885
224,dimensions,"shoaib sufi, aleksandra nenadic, raniere silva, beth duckles, iveta simera, jennifer a. de beyer, caroline struthers, terhi nurmikko-fuller, louisa bellis, wadud miah, adriana wilde, iain emsley, olivier philippe, melissa balzano, sara coelho, heather ford, catherine jones, vanessa higgins",ten simple rules for measuring the impact of workshops,Ten simple rules for measuring the impact of workshops,plos computational biology,"01 mathematical sciences, 06 biological sciences, 08 information and computing sciences",2018,10.1371/journal.pcbi.1006191
225,dimensions,"cristina m. pulido, gisela redondo-sama, teresa sorde-marti, ramon flecha",social impact in social media a new method to evaluate the social impact of research,Social impact in social media: A new method to evaluate the social impact of research,plos one,"16 studies in human society, 1608 sociology",2018,10.1371/journal.pone.0203117
226,dimensions,"holger thiele, ibrahim akin, marcus sandri, suzanne de waha-thiele, roza meyer-saraei, georg fuernau, ingo eitel, peter nordbeck, tobias geisler, ulf landmesser, carsten skurk, andreas fach, alexander jobs, harald lapp, jan j piek, marko noc, tomaz goslar, stephan b felix, lars s maier, janina stepinska, keith oldroyd, pranas serpytis, gilles montalescot, olivier barthelemy, kurt huber, stephan windecker, lukas hunziker, stefano savonitto, patrizia torremante, christiaan vrints, steffen schneider, uwe zeymer, steffen desch",one year outcomes after pci strategies in cardiogenic shock,One-Year Outcomes after PCI Strategies in Cardiogenic Shock,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology",2018,10.1056/nejmoa1808788
227,dimensions,"denis horgan, henk j van kranen, servaas a morre",optimising sme potential in modern healthcare systems challenges opportunities and policy recommendations,"Optimising SME Potential in Modern Healthcare Systems: Challenges, Opportunities and Policy Recommendations",public health genomics,"10 technology, 1004 medical biotechnology, 11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services",2018,10.1159/000492809
228,dimensions,"jacqueline galica, alyssandra chee-a-tow, shikha gupta, atul jaiswal, andrea monsour, andrea c. tricco, kelly d. cobey, nancy j. butcher",learning best practices in journalology course description and attendee insights into the inaugural equator canada publication school,Learning best-practices in journalology: course description and attendee insights into the inaugural EQUATOR Canada Publication School,bmc proceedings,"17 psychology and cognitive sciences, 1701 psychology",2018,10.1186/s12919-018-0155-4
229,dimensions,karen blakeman,bibliometrics in a digital age help or hindrance,Bibliometrics in a Digital Age: Help or Hindrance,science progress,"16 studies in human society, 1605 policy and administration",2018,10.3184/003685018x15337564592469
230,dimensions,"jonathan y. xia, donald m. lloyd-jones, sadiya s. khan",association of body mass index with mortality in cardiovascular disease new insights into the obesity paradox from multiple perspectives,Association of Body Mass Index with Mortality in Cardiovascular Disease: New Insights into the Obesity Paradox from Multiple Perspectives,trends in cardiovascular medicine,"11 medical and health sciences, 1117 public health and health services",2019,10.1016/j.tcm.2018.08.006
231,dimensions,"hassan asadi, ehsan mostafavi",the productivity and characteristics of iranian biomedical journal a scientometric analysis,The Productivity and Characteristics of Iranian Biomedical Journal: A Scientometric Analysis,iranian biomedical journal,"11 medical and health sciences, 1117 public health and health services",2018,10.29252/.22.6.362
