,doi,title,journal,year,vol,issue,document_type,authors,url,keywords,authors_l,title_l,journal_l,keywords_l
145,10.1056/nejmoa1810641,Sleep and Alertness in a Duty-Hour Flexibility Trial in Internal Medicine,New England Journal of Medicine,2019,380,10,Article,"Basner, Mathias; Asch, David A; Shea, Judy A; Bellini, Lisa M; Carlin, Michele; Ecker, Adrian J; Malone, Susan K; Desai, Sanjay V; Sternberg, Alice L; Tonascia, James; Shade, David M; Katz, Joel T; Bates, David W; Even-Shoshan, Orit; Silber, Jeffrey H; Small, Dylan S; Volpp, Kevin G; Mott, Christopher G; Coats, Sara; Mollicone, Daniel J; Dinges, David F",https://app.dimensions.ai/details/publication/pub.1112590109,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,"mathias basner, david a asch, judy a shea, lisa m bellini, michele carlin, adrian j ecker, susan k malone, sanjay v desai, alice l sternberg, james tonascia, david m shade, joel t katz, david w bates, orit even-shoshan, jeffrey h silber, dylan s small, kevin g volpp, christopher g mott, sara coats, daniel j mollicone, david f dinges",sleep and alertness in a duty hour flexibility trial in internal medicine,new england journal of medicine,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology"
146,10.1016/j.afjem.2019.01.015,"A cross-sectional description of open access publication costs, policies and impact in emergency medicine and critical care journals",African Journal of Emergency Medicine,2019,9,F1000Research 6 2017,Article,"Dove, Chante; Chan, Teresa M.; Thoma, Brent; Roland, Damian; Bruijns, Stevan R.",https://app.dimensions.ai/details/publication/pub.1112571140,08 Information and Computing Sciences; 0806 Information Systems,"chante dove, teresa m. chan, brent thoma, damian roland, stevan r. bruijns",a cross sectional description of open access publication costs policies and impact in emergency medicine and critical care journals,african journal of emergency medicine,"08 information and computing sciences, 0806 information systems"
147,10.5811/westjem.2018.10.39293,Creating Consensus: Revisiting the Emergency Medicine Resident Scholarly Activity Requirement,Western Journal of Emergency Medicine,2019,20,2,Article,"Kane, Bryan G; Totten, Vicken Y; Kraus, Chadd K; Allswede, Michael; Diercks, Deborah B; Garg, Nidhi; Ling, Louis; McDonald, Eric N; Rosenau, Alex M; Wilk, Mike; Holmes, Alexandria D; Hemminger, Adam; Greenberg, Marna Rayl",https://app.dimensions.ai/details/publication/pub.1112538508,1117 Public Health and Health Services; 11 Medical and Health Sciences,"bryan g kane, vicken y totten, chadd k kraus, michael allswede, deborah b diercks, nidhi garg, louis ling, eric n mcdonald, alex m rosenau, mike wilk, alexandria d holmes, adam hemminger, marna rayl greenberg",creating consensus revisiting the emergency medicine resident scholarly activity requirement,western journal of emergency medicine,"11 medical and health sciences, 1117 public health and health services"
148,10.1016/j.jacc.2018.12.044,Understanding Social Media Opportunities for Cardiovascular Medicine,Journal of the American College of Cardiology,2019,73,9,Article,"Parwani, Purvi; Choi, Andrew D.; Lopez-Mattei, Juan; Raza, Samreen; Chen, Tiffany; Narang, Akhil; Michos, Erin D.; Erwin, John P.; Mamas, Mamas A.; Gulati, Martha",https://app.dimensions.ai/details/publication/pub.1112520889,1102 Cardiorespiratory Medicine and Haematology; 1117 Public Health and Health Services; 11 Medical and Health Sciences,"purvi parwani, andrew d. choi, juan lopez-mattei, samreen raza, tiffany chen, akhil narang, erin d. michos, john p. erwin, mamas a. mamas, martha gulati",understanding social media opportunities for cardiovascular medicine,journal of the american college of cardiology,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology, 1117 public health and health services"
149,10.1111/jcpe.13100,Industry sponsorship bias in clinical trials in implant dentistry: Systematic review and meta‐regression,Journal Of Clinical Periodontology,2019,46,4,Article,"dos Santos, Mateus Bertolini Fernandes; Agostini, Bernardo Antônio; Moraes, Rafael Ratto; Schwendicke, Falk; Sarkis‐Onofre, Rafael",https://app.dimensions.ai/details/publication/pub.1112512286,11 Medical and Health Sciences; 1103 Clinical Sciences,"mateus bertolini fernandes dos santos, bernardo antonio agostini, rafael ratto moraes, falk schwendicke, rafael sarkis-onofre",industry sponsorship bias in clinical trials in implant dentistry systematic review and metaregression,journal of clinical periodontology,"11 medical and health sciences, 1103 clinical sciences"
150,10.1080/20008198.2019.1578524,Facts on psychotraumatology,European Journal of Psychotraumatology,2019,10,1,Article,"Olff, Miranda",https://app.dimensions.ai/details/publication/pub.1112440337,2103 Historical Studies; 21 History and Archaeology,miranda olff,facts on psychotraumatology,european journal of psychotraumatology,"21 history and archaeology, 2103 historical studies"
151,10.1016/j.outlook.2019.02.011,Contribution of Italian Nursing Professors to International Literature: a 2000 – 2016 review,Nursing Outlook,2019,67,Archivum Immunologiae Et Therapiae Experimentalis 57 1 2009,Article,"Giacomello, Matilde; Canova, Cristina; Zanotti, Renzo",https://app.dimensions.ai/details/publication/pub.1112382560,1110 Nursing; 11 Medical and Health Sciences,"matilde giacomello, cristina canova, renzo zanotti",contribution of italian nursing professors to international literature a 2000 2016 review,nursing outlook,"11 medical and health sciences, 1110 nursing"
152,10.1159/000495790,"Big Data Research in Pediatric Neurosurgery: Content, Statistical Output, and Bibliometric Analysis",Pediatric Neurosurgery,2019,54,2,Article,"Oravec, Chesney S; Motiwala, Mustafa; Reed, Kevin; Jones, Tamekia L; Klimo, Paul",https://app.dimensions.ai/details/publication/pub.1112352781,1109 Neurosciences; 11 Medical and Health Sciences; 1114 Paediatrics and Reproductive Medicine,"chesney s oravec, mustafa motiwala, kevin reed, tamekia l jones, paul klimo",big data research in pediatric neurosurgery content statistical output and bibliometric analysis,pediatric neurosurgery,"11 medical and health sciences, 1109 neurosciences, 1114 paediatrics and reproductive medicine"
154,10.1188/19.onf.143-145,Beyond the Impact Factor.,Oncology Nursing Forum,2019,46,2,Article,"Vrabel, Mark",https://app.dimensions.ai/details/publication/pub.1112202343,1110 Nursing; 11 Medical and Health Sciences,mark vrabel,beyond the impact factor,oncology nursing forum,"11 medical and health sciences, 1110 nursing"
155,10.1056/nejmoa1816047,Avelumab plus Axitinib versus Sunitinib for Advanced Renal-Cell Carcinoma,New England Journal of Medicine,2019,380,12,Article,"Motzer, Robert J; Penkov, Konstantin; Haanen, John; Rini, Brian; Albiges, Laurence; Campbell, Matthew T; Venugopal, Balaji; Kollmannsberger, Christian; Negrier, Sylvie; Uemura, Motohide; Lee, Jae L; Vasiliev, Aleksandr; Miller, Wilson H; Gurney, Howard; Schmidinger, Manuela; Larkin, James; Atkins, Michael B; Bedke, Jens; Alekseev, Boris; Wang, Jing; Mariani, Mariangela; Robbins, Paul B; Chudnovsky, Aleksander; Fowst, Camilla; Hariharan, Subramanian; Huang, Bo; di Pietro, Alessandra; Choueiri, Toni K",https://app.dimensions.ai/details/publication/pub.1112196553,11 Medical and Health Sciences; 1103 Clinical Sciences,"robert j motzer, konstantin penkov, john haanen, brian rini, laurence albiges, matthew t campbell, balaji venugopal, christian kollmannsberger, sylvie negrier, motohide uemura, jae l lee, aleksandr vasiliev, wilson h miller, howard gurney, manuela schmidinger, james larkin, michael b atkins, jens bedke, boris alekseev, jing wang, mariangela mariani, paul b robbins, aleksander chudnovsky, camilla fowst, subramanian hariharan, bo huang, alessandra di pietro, toni k choueiri",avelumab plus axitinib versus sunitinib for advanced renal cell carcinoma,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences"
156,10.3389/fendo.2019.00081,Disentangling What We Know About Microbes and Mental Health,Frontiers in Endocrinology,2019,10,0,Article,"Reid, Gregor",https://app.dimensions.ai/details/publication/pub.1112154092,1109 Neurosciences; 11 Medical and Health Sciences,gregor reid,disentangling what we know about microbes and mental health,frontiers in endocrinology,"11 medical and health sciences, 1109 neurosciences"
157,10.1136/bmjopen-2018-025029,Effect of different financial competing interest statements on readers’ perceptions of clinical educational articles: a randomised controlled trial,BMJ Open,2019,9,2,Article,"Schroter, Sara; Pakpoor, Julia; Morris, Julie; Chew, Mabel; Godlee, Fiona",https://app.dimensions.ai/details/publication/pub.1111953670,1103 Clinical Sciences; 1117 Public Health and Health Services; 11 Medical and Health Sciences; 1199 Other Medical and Health Sciences,"sara schroter, julia pakpoor, julie morris, mabel chew, fiona godlee",effect of different financial competing interest statements on readers perceptions of clinical educational articles a randomised controlled trial,bmj open,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services, 1199 other medical and health sciences"
158,10.1056/nejmoa1800170,Omadacycline for Acute Bacterial Skin and Skin-Structure Infections,New England Journal of Medicine,2019,380,6,Article,"O'Riordan, William; Green, Sinikka; Overcash, J Scott; Puljiz, Ivan; Metallidis, Symeon; Gardovskis, J; Garrity-Ryan, Lynne; Das, Anita F; Tzanis, Evan; Eckburg, Paul B; Manley, Amy; Villano, Stephen A; Steenbergen, Judith N; Loh, Evan",https://app.dimensions.ai/details/publication/pub.1111950836,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1103 Clinical Sciences,"william o'riordan, sinikka green, j scott overcash, ivan puljiz, symeon metallidis, j gardovskis, lynne garrity-ryan, anita f das, evan tzanis, paul b eckburg, amy manley, stephen a villano, judith n steenbergen, evan loh",omadacycline for acute bacterial skin and skin structure infections,new england journal of medicine,"11 medical and health sciences, 1103 clinical sciences, 1117 public health and health services"
159,10.1007/s11547-019-00996-z,"Impact factor correlations with Scimago Journal Rank, Source Normalized Impact per Paper, Eigenfactor Score, and the CiteScore in Radiology, Nuclear Medicine & Medical Imaging journals",La radiologia medica,2019,124,6,Article,"Villaseñor-Almaraz, Moises; Islas-Serrano, Juan; Murata, Chiharu; Roldan-Valadez, Ernesto",https://app.dimensions.ai/details/publication/pub.1111933614,11 Medical and Health Sciences; 1103 Clinical Sciences,"moises villasenor-almaraz, juan islas-serrano, chiharu murata, ernesto roldan-valadez",impact factor correlations with scimago journal rank source normalized impact per paper eigenfactor score and the citescore in radiology nuclear medicine medical imaging journals,la radiologia medica,"11 medical and health sciences, 1103 clinical sciences"
160,10.1080/02763869.2018.1514904,Promoting and Tracking Institutional Scholarship with Implementation of a Librarian-Curated Digital Repository and Research Information Management System,Medical Reference Services Quarterly,2018,37,4,Article,"Rand, Debra; Stager, Leanna",https://app.dimensions.ai/details/publication/pub.1111932201,08 Information and Computing Sciences; 0806 Information Systems,"debra rand, leanna stager",promoting and tracking institutional scholarship with implementation of a librarian curated digital repository and research information management system,medical reference services quarterly,"08 information and computing sciences, 0806 information systems"
162,10.1136/bmjopen-2018-025783,Making headlines: an analysis of US government-funded cancer research mentioned in online media,BMJ Open,2019,9,2,Article,"Maggio, Lauren A; Ratcliff, Chelsea L; Krakow, Melinda; Moorhead, Laura L; Enkhbayar, Asura; Alperin, Juan Pablo",https://app.dimensions.ai/details/publication/pub.1111917310,1117 Public Health and Health Services; 11 Medical and Health Sciences; 1112 Oncology and Carcinogenesis,"lauren a maggio, chelsea l ratcliff, melinda krakow, laura l moorhead, asura enkhbayar, juan pablo alperin",making headlines an analysis of us government funded cancer research mentioned in online media,bmj open,"11 medical and health sciences, 1112 oncology and carcinogenesis, 1117 public health and health services"
163,10.1038/s41393-018-0232-6,A beginner’s guide to data stewardship and data sharing,Spinal Cord,2019,57,3,Article,"Dijkers, Marcel P.",https://app.dimensions.ai/details/publication/pub.1111907817,1109 Neurosciences; 1106 Human Movement and Sports Science; 11 Medical and Health Sciences; 1103 Clinical Sciences,marcel p. dijkers,a beginners guide to data stewardship and data sharing,spinal cord,"11 medical and health sciences, 1103 clinical sciences, 1106 human movement and sports science, 1109 neurosciences"
164,10.1111/acem.13704,"Scholarly Productivity and Impact: Developing a Quantifiable, Norm‐based Benchmarking Methodology for Academic Emergency Medicine",Academic Emergency Medicine,2019,26,6,Article,"Boudreaux, Edwin D.; Higgins, Stephen E.; Reznik‐Zellen, Rebecca; Wang, Bo; Volturo, Gregory",https://app.dimensions.ai/details/publication/pub.1111825415,1117 Public Health and Health Services; 11 Medical and Health Sciences,"edwin d. boudreaux, stephen e. higgins, rebecca reznik-zellen, bo wang, gregory volturo",scholarly productivity and impact developing a quantifiable normbased benchmarking methodology for academic emergency medicine,academic emergency medicine,"11 medical and health sciences, 1117 public health and health services"
165,10.1016/j.jclinepi.2019.01.009,The timing and frequency of trial inclusion in systematic reviews of type 2 diabetes drugs was associated with trial characteristics,Journal of Clinical Epidemiology,2019,109,0,Article,"Dunn, Adam G.; Orenstein, Liat; Coiera, Enrico; Mandl, Kenneth D.; Bourgeois, Florence T.",https://app.dimensions.ai/details/publication/pub.1111763714,1117 Public Health and Health Services; 11 Medical and Health Sciences,"adam g. dunn, liat orenstein, enrico coiera, kenneth d. mandl, florence t. bourgeois",the timing and frequency of trial inclusion in systematic reviews of type 2 diabetes drugs was associated with trial characteristics,journal of clinical epidemiology,"11 medical and health sciences, 1117 public health and health services"
166,10.1002/asi.24154,"Motivations, understandings, and experiences of open‐access mega‐journal authors: Results of a large‐scale survey",Journal of the Association for Information Science and Technology,2019,70,7,Article,"Wakeling, Simon; Creaser, Claire; Pinfield, Stephen; Fry, Jenny; Spezi, Valérie; Willett, Peter; Paramita, Monica",https://app.dimensions.ai/details/publication/pub.1111607233,08 Information and Computing Sciences; 0806 Information Systems,"simon wakeling, claire creaser, stephen pinfield, jenny fry, valerie spezi, peter willett, monica paramita",motivations understandings and experiences of openaccess megajournal authors results of a largescale survey,journal of the association for information science and technology,"08 information and computing sciences, 0806 information systems"
167,10.1111/iej.13083,The top 50 most‐cited articles published in the International Endodontic Journal,International Endodontic Journal,2019,52,6,Article,"Ahmad, P.; Dummer, P. M. H.; Noorani, T. Y.; Asif, J. A.",https://app.dimensions.ai/details/publication/pub.1111578151,11 Medical and Health Sciences; 1105 Dentistry,"p. ahmad, p. m. h. dummer, t. y. noorani, j. a. asif",the top 50 mostcited articles published in the international endodontic journal,international endodontic journal,"11 medical and health sciences, 1105 dentistry"
168,10.1016/j.acap.2019.01.001,Building Capacity in Pediatric Environmental Health: A Fifteen-Year Report on the Academic Pediatric Association's Professional Development Program,Academic Pediatrics,2019,19,Academic Pediatrics 16 2016,Article,"Landrigan, Philip J.; Braun, Joseph M.; Crain, Ellen F.; Forman, Joel; Galvez, Maida; Gitterman, Benjamin A.; Halevi, Gali; Karr, Catherine; Mall, Jennifer Kathleen; Paulson, Jerome A.; Woolf, Alan D.; Lanphear, Bruce P.; Wright, Robert O.",https://app.dimensions.ai/details/publication/pub.1111266777,1117 Public Health and Health Services; 11 Medical and Health Sciences,"philip j. landrigan, joseph m. braun, ellen f. crain, joel forman, maida galvez, benjamin a. gitterman, gali halevi, catherine karr, jennifer kathleen mall, jerome a. paulson, alan d. woolf, bruce p. lanphear, robert o. wright",building capacity in pediatric environmental health a fifteen year report on the academic pediatric associations professional development program,academic pediatrics,"11 medical and health sciences, 1117 public health and health services"
169,10.1093/ckj/sfy139,"The new Clinical Kidney Journal, 4 years later",Clinical Kidney Journal,2019,12,1,Article,"Ortiz, Alberto; Vinck, Caroline",https://app.dimensions.ai/details/publication/pub.1111015339,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,"alberto ortiz, caroline vinck",the new clinical kidney journal 4 years later,clinical kidney journal,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology"
170,10.1186/s12916-018-1221-5,The SMILES trial: do undisclosed recruitment practices explain the remarkably large effect?,BMC Medicine,2018,16,1,Article,"Molendijk, Marc L.; Fried, Eiko I.; Van der Does, Willem",https://app.dimensions.ai/details/publication/pub.1110935388,11 Medical and Health Sciences; 1103 Clinical Sciences,"marc l. molendijk, eiko i. fried, willem van der does",the smiles trial do undisclosed recruitment practices explain the remarkably large effect,bmc medicine,"11 medical and health sciences, 1103 clinical sciences"
171,10.1093/icvts/ivy358,Social media as a tool to rewrite the narrative for women in cardiothoracic surgery,Interactive Cardiovascular and Thoracic Surgery,2019,28,6,Article,"Stamp, Nikki L; Luc, Jessica G Y; Ouzounian, Maral; Bhatti, Farah; Hici, Tamara Ni; Antonoff, Mara B",https://app.dimensions.ai/details/publication/pub.1110910309,11 Medical and Health Sciences; 1103 Clinical Sciences,"nikki l stamp, jessica g y luc, maral ouzounian, farah bhatti, tamara ni hici, mara b antonoff",social media as a tool to rewrite the narrative for women in cardiothoracic surgery,interactive cardiovascular and thoracic surgery,"11 medical and health sciences, 1103 clinical sciences"
172,10.1007/s11046-018-0314-1,"The Curious Case of “Case Report” of Infections Caused by Human and Animal Fungal Pathogens: An Educational Tool, an Online Archive, or a Format in Need of Retooling",Mycopathologia,2018,183,6,Article,"Bouchara, Jean-Philippe; Chaturvedi, Vishnu",https://app.dimensions.ai/details/publication/pub.1110810805,0605 Microbiology; 06 Biological Sciences,"jean-philippe bouchara, vishnu chaturvedi",the curious case of case report of infections caused by human and animal fungal pathogens an educational tool an online archive or a format in need of retooling,mycopathologia,"06 biological sciences, 0605 microbiology"
173,10.1007/s00268-018-04893-w,Relative Value of Adapted Novel Bibliometrics in Evaluating Surgical Academic Impact and Reach,World Journal of Surgery,2019,43,4,Article,"Robinson, David B. T.; Hopkins, Luke; Brown, Chris; Abdelrahman, Tarig; Powell, Arfon G.; Egan, Richard J.; Lewis, Wyn G.",https://app.dimensions.ai/details/publication/pub.1110756340,11 Medical and Health Sciences; 1103 Clinical Sciences,"david b. t. robinson, luke hopkins, chris brown, tarig abdelrahman, arfon g. powell, richard j. egan, wyn g. lewis",relative value of adapted novel bibliometrics in evaluating surgical academic impact and reach,world journal of surgery,"11 medical and health sciences, 1103 clinical sciences"
174,10.1053/j.semnuclmed.2018.11.009,The Changing Landscape of Journalology in Medicine,Seminars in Nuclear Medicine,2019,49,JAMA 195 1966,Article,"Wilson, Mitch; Moher, David",https://app.dimensions.ai/details/publication/pub.1110716232,11 Medical and Health Sciences; 1103 Clinical Sciences,"mitch wilson, david moher",the changing landscape of journalology in medicine,seminars in nuclear medicine,"11 medical and health sciences, 1103 clinical sciences"
175,10.3389/fbioe.2018.00198,GitHub Statistics as a Measure of the Impact of Open-Source Bioinformatics Software,Frontiers in Bioengineering and Biotechnology,2018,6,0,Article,"Dozmorov, Mikhail G",https://app.dimensions.ai/details/publication/pub.1110713397,08 Information and Computing Sciences; 0803 Computer Software; 0806 Information Systems,mikhail g dozmorov,github statistics as a measure of the impact of open source bioinformatics software,frontiers in bioengineering and biotechnology,"08 information and computing sciences, 0803 computer software, 0806 information systems"
176,10.2217/epi-2018-0198,Welcome to the 11th volume of Epigenomics,Epigenomics,2019,11,1,Article,"Chard, Lucy",https://app.dimensions.ai/details/publication/pub.1110709519,0912 Materials Engineering; 09 Engineering,lucy chard,welcome to the 11th volume of epigenomics,epigenomics,"09 engineering, 0912 materials engineering"
177,10.12688/f1000research.17425.1,The principles of tomorrow's university,F1000Research,2018,7,0,Article,"Katz, Daniel S.; Allen, Gabrielle; Barba, Lorena A.; Berg, Devin R.; Bik, Holly; Boettiger, Carl; Borgman, Christine L.; Brown, C. Titus; Buck, Stuart; Burd, Randy; de Waard, Anita; Eve, Martin Paul; Granger, Brian E.; Greenberg, Josh; Howe, Adina; Howe, Bill; Khanna, May; Killeen, Timothy L.; Mayernik, Matthew; McKiernan, Erin; Mentzel, Chris; Merchant, Nirav; Niemeyer, Kyle E.; Noren, Laura; Nusser, Sarah M.; Reed, Daniel A.; Seidel, Edward; Smith, MacKenzie; Spies, Jeffrey R.; Turk, Matt; Van Horn, John D.; Walsh, Jay",https://app.dimensions.ai/details/publication/pub.1110542319,1303 Specialist Studies In Education; 13 Education,"daniel s. katz, gabrielle allen, lorena a. barba, devin r. berg, holly bik, carl boettiger, christine l. borgman, c. titus brown, stuart buck, randy burd, anita de waard, martin paul eve, brian e. granger, josh greenberg, adina howe, bill howe, may khanna, timothy l. killeen, matthew mayernik, erin mckiernan, chris mentzel, nirav merchant, kyle e. niemeyer, laura noren, sarah m. nusser, daniel a. reed, edward seidel, mackenzie smith, jeffrey r. spies, matt turk, john d. van horn, jay walsh",the principles of tomorrows university,f1000research,"13 education, 1303 specialist studies in education"
178,10.1136/neurintsurg-2018-014368,The most mentioned neurointervention articles in online media: a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,Journal of NeuroInterventional Surgery,2019,11,5,Article,"Kim, Hye Jeong; Yoon, Dae Young; Kim, Eun Soo; Yun, Eun Joo; Jeon, Hong Jun; Lee, Jong Young; Cho, Byung-Moon",https://app.dimensions.ai/details/publication/pub.1110541218,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,"hye jeong kim, dae young yoon, eun soo kim, eun joo yun, hong jun jeon, jong young lee, byung-moon cho",the most mentioned neurointervention articles in online media a bibliometric analysis of the top 101 articles with the highest altmetric attention scores,journal of neurointerventional surgery,"08 information and computing sciences, 0801 artificial intelligence and image processing"
179,10.1002/pri.1760,Evolution of physiotherapy scholarship: A comparative bibliometric analysis of two decades of English published work,Physiotherapy Research International,2019,24,2,Article,"Benton, Andrew D.; Benton, David C.",https://app.dimensions.ai/details/publication/pub.1110505847,11 Medical and Health Sciences; 1103 Clinical Sciences,"andrew d. benton, david c. benton",evolution of physiotherapy scholarship a comparative bibliometric analysis of two decades of english published work,physiotherapy research international,"11 medical and health sciences, 1103 clinical sciences"
180,10.3389/fmed.2018.00345,Possibilities and Pitfalls of Social Media for Translational Medicine,Frontiers in Medicine,2018,5,0,Article,"Dijkstra, Suzan; Kok, Gautam; Ledford, Julie G.; Sandalova, Elena; Stevelink, Remi",https://app.dimensions.ai/details/publication/pub.1110399467,1608 Sociology; 16 Studies in Human Society,"suzan dijkstra, gautam kok, julie g. ledford, elena sandalova, remi stevelink",possibilities and pitfalls of social media for translational medicine,frontiers in medicine,"16 studies in human society, 1608 sociology"
181,10.1016/j.urology.2018.11.034,Factors associated with the highest and lowest cited research articles in urology journals,Urology,2019,124,Acad Radiology 2018,Article,"Boyd, Carter J.; Gentry, Zachary L.; Martin, Kimberly D.; Rais-Bahrami, Soroush",https://app.dimensions.ai/details/publication/pub.1110368521,1117 Public Health and Health Services; 11 Medical and Health Sciences,"carter j. boyd, zachary l. gentry, kimberly d. martin, soroush rais-bahrami",factors associated with the highest and lowest cited research articles in urology journals,urology,"11 medical and health sciences, 1117 public health and health services"
182,10.1007/s11845-018-1936-5,"Current concepts on bibliometrics: a brief review about impact factor, Eigenfactor score, CiteScore, SCImago Journal Rank, Source-Normalised Impact per Paper, H-index, and alternative metrics",Irish Journal of Medical Science,2019,188,3,Article,"Roldan-Valadez, Ernesto; Salazar-Ruiz, Shirley Yoselin; Ibarra-Contreras, Rafael; Rios, Camilo",https://app.dimensions.ai/details/publication/pub.1110344811,11 Medical and Health Sciences,"ernesto roldan-valadez, shirley yoselin salazar-ruiz, rafael ibarra-contreras, camilo rios",current concepts on bibliometrics a brief review about impact factor eigenfactor score citescore scimago journal rank source normalised impact per paper h index and alternative metrics,irish journal of medical science,11 medical and health sciences
183,10.1111/jan.13921,Measuring the social impact of nursing research: An insight into altmetrics,Journal of Advanced Nursing,2019,75,7,Article,"Dardas, Latefa Ali; Woodward, Amanda; Scott, Jewel; Xu, Hanzhang; Sawair, Faleh A.",https://app.dimensions.ai/details/publication/pub.1110341406,1117 Public Health and Health Services; 11 Medical and Health Sciences,"latefa ali dardas, amanda woodward, jewel scott, hanzhang xu, faleh a. sawair",measuring the social impact of nursing research an insight into altmetrics,journal of advanced nursing,"11 medical and health sciences, 1117 public health and health services"
184,10.2217/imt-2018-0183,Immunotherapy Foreword 2018,Immunotherapy,2018,10,16,Article,"Gregg, Mike",https://app.dimensions.ai/details/publication/pub.1110201859,11 Medical and Health Sciences; 1115 Pharmacology and Pharmaceutical Sciences; 1103 Clinical Sciences; 1107 Immunology,mike gregg,immunotherapy foreword 2018,immunotherapy,"11 medical and health sciences, 1103 clinical sciences, 1107 immunology, 1115 pharmacology and pharmaceutical sciences"
185,10.1016/j.ejso.2018.11.020,Tweeting the meeting: Quantitative and qualitative twitter activity during the 38th ESSO conference,European Journal of Surgical Oncology,2019,45,Br J Surg 104 13 2017,Article,"Søreide, Kjetil; Mackenzie, Graham; Polom, Karol; Lorenzon, Laura; Mohan, Helen; Mayol, Julio",https://app.dimensions.ai/details/publication/pub.1110175281,1117 Public Health and Health Services; 11 Medical and Health Sciences,"kjetil soreide, graham mackenzie, karol polom, laura lorenzon, helen mohan, julio mayol",tweeting the meeting quantitative and qualitative twitter activity during the 38th esso conference,european journal of surgical oncology,"11 medical and health sciences, 1117 public health and health services"
186,10.1016/j.jbi.2018.11.010,Automatic Identification of Recent High Impact Clinical Articles in PubMed to Support Clinical Decision Making Using Time-agnostic Features,Journal of Biomedical Informatics,2019,89,Ann. Intern. Med. 103 1985,Article,"Bian, Jiantao; Abdelrahman, Samir; Shi, Jianlin; Del Fiol, Guilherme",https://app.dimensions.ai/details/publication/pub.1110129301,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,"jiantao bian, samir abdelrahman, jianlin shi, guilherme del fiol",automatic identification of recent high impact clinical articles in pubmed to support clinical decision making using time agnostic features,journal of biomedical informatics,"08 information and computing sciences, 0801 artificial intelligence and image processing"
187,10.21815/jde.018.136,Research Productivity of Directors of U.S. Advanced Education in Prosthodontics Programs,Journal of Dental Education,2018,82,12,Article,"Sukotjo, Cortino; Khan, Anam; Yuan, Judy Chia-Chun; Afshari, Fatemeh; Weatherspoon, Darien; Wee, Alvin G.",https://app.dimensions.ai/details/publication/pub.1109951636,1303 Specialist Studies In Education; 13 Education,"cortino sukotjo, anam khan, judy chia-chun yuan, fatemeh afshari, darien weatherspoon, alvin g. wee",research productivity of directors of u s advanced education in prosthodontics programs,journal of dental education,"13 education, 1303 specialist studies in education"
188,10.1016/j.wneu.2018.11.042,A bibliometric analysis of the top 100 influential papers on carotid artery stenting,World Neurosurgery,2019,122,0,Article,"Cheng, Wei; Kang, Qiaoying; Xiao, Qinghua",https://app.dimensions.ai/details/publication/pub.1109908844,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,"wei cheng, qiaoying kang, qinghua xiao",a bibliometric analysis of the top 100 influential papers on carotid artery stenting,world neurosurgery,"11 medical and health sciences, 1102 cardiorespiratory medicine and haematology"
189,10.1016/j.rdc.2018.09.010,Digital Medicine in Rheumatology Challenges and Opportunities,Rheumatic Disease Clinics of North America,2019,45,1,Article,"Venuturupalli, R. Swamy; Sufka, Paul; Bhana, Suleman",https://app.dimensions.ai/details/publication/pub.1109904288,11 Medical and Health Sciences; 1103 Clinical Sciences,"r. swamy venuturupalli, paul sufka, suleman bhana",digital medicine in rheumatology challenges and opportunities,rheumatic disease clinics of north america,"11 medical and health sciences, 1103 clinical sciences"
190,10.1136/bmjopen-2018-023215,Evidence into practice: protocol for a new mixed-methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,BMJ Open,2018,8,11,Article,"Byrne, Benjamin E; Rooshenas, Leila; Lambert, Helen; Blazeby, Jane M",https://app.dimensions.ai/details/publication/pub.1109782396,1117 Public Health and Health Services; 11 Medical and Health Sciences,"benjamin e byrne, leila rooshenas, helen lambert, jane m blazeby",evidence into practice protocol for a new mixed methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,bmj open,"11 medical and health sciences, 1117 public health and health services"
191,10.1002/ase.1826,The Initial Impact of the Anatomical Society Gross Anatomy Core Syllabus for Medicine in the United Kingdom: Student and Teacher Perspectives,Anatomical Sciences Education,2019,12,5,Article,"Smith, Claire F.; Finn, Gabrielle M.; Hennessy, Catherine; Luscombe, Ciara; Stewart, Jane; McHanwell, Stephen",https://app.dimensions.ai/details/publication/pub.1109775561,1303 Specialist Studies In Education; 13 Education,"claire f. smith, gabrielle m. finn, catherine hennessy, ciara luscombe, jane stewart, stephen mchanwell",the initial impact of the anatomical society gross anatomy core syllabus for medicine in the united kingdom student and teacher perspectives,anatomical sciences education,"13 education, 1303 specialist studies in education"
